Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub2ex2,5,0.853982301,0.858572602,"[0.8715523586690678, 0.828244938033898, 0.8746578608707395]"
sub2ex3,1,0.811487482,0.806710806,"[0.8220993577662954, 0.8181097808152493, 0.7813447891170071]"
sub2ex3,2,0.810014728,0.806710806,"[0.8220993577662954, 0.8181097808152493, 0.7813447891170071]"
sub2ex3,3,0.811487482,0.806710806,"[0.8220993577662954, 0.8181097808152493, 0.7813447891170071]"
sub2ex3,4,0.817378498,0.806710806,"[0.8220993577662954, 0.8181097808152493, 0.7813447891170071]"
sub2ex3,5,0.783185841,0.806710806,"[0.8220993577662954, 0.8181097808152493, 0.7813447891170071]"
sub3ex1,1,0.795287187,0.793458192,"[0.7983542758980792, 0.7894666637656564, 0.7928766180145306]"
sub3ex1,2,0.793814433,0.793458192,"[0.7983542758980792, 0.7894666637656564, 0.7928766180145306]"
sub3ex1,3,0.792341679,0.793458192,"[0.7983542758980792, 0.7894666637656564, 0.7928766180145306]"
sub3ex1,4,0.795287187,0.793458192,"[0.7983542758980792, 0.7894666637656564, 0.7928766180145306]"
sub3ex1,5,0.790560472,0.793458192,"[0.7983542758980792, 0.7894666637656564, 0.7928766180145306]"
sub3ex2,1,0.842415317,0.857983934,"[0.8306431204558538, 0.810619955392999, 0.9301498366761957]"
sub3ex2,2,0.864506627,0.857983934,"[0.8306431204558538, 0.810619955392999, 0.9301498366761957]"
sub3ex2,3,0.877761414,0.857983934,"[0.8306431204558538, 0.810619955392999, 0.9301498366761957]"
sub3ex2,4,0.849779087,0.857983934,"[0.8306431204558538, 0.810619955392999, 0.9301498366761957]"
sub3ex2,5,0.855457227,0.857983934,"[0.8306431204558538, 0.810619955392999, 0.9301498366761957]"
sub3ex3,1,0.8365243,0.835301784,"[0.8369920973127067, 0.7621473512650788, 0.8992200817196497]"
sub3ex3,2,0.843888071,0.835301784,"[0.8369920973127067, 0.7621473512650788, 0.8992200817196497]"
sub3ex3,3,0.835051546,0.835301784,"[0.8369920973127067, 0.7621473512650788, 0.8992200817196497]"
sub3ex3,4,0.811487482,0.835301784,"[0.8369920973127067, 0.7621473512650788, 0.8992200817196497]"
sub3ex3,5,0.849557522,0.835301784,"[0.8369920973127067, 0.7621473512650788, 0.8992200817196497]"
sub4ex1,1,0.913107511,0.894218897,"[0.8721158919553783, 0.8907995684543486, 0.9195674150066635]"
sub4ex1,2,0.899852725,0.894218897,"[0.8721158919553783, 0.8907995684543486, 0.9195674150066635]"
sub4ex1,3,0.895434462,0.894218897,"[0.8721158919553783, 0.8907995684543486, 0.9195674150066635]"
sub4ex1,4,0.889543446,0.894218897,"[0.8721158919553783, 0.8907995684543486, 0.9195674150066635]"
sub4ex1,5,0.873156342,0.894218897,"[0.8721158919553783, 0.8907995684543486, 0.9195674150066635]"
sub4ex2,1,0.808541973,0.813794796,"[0.7812350305966799, 0.8096223734154592, 0.8515073985190671]"
sub4ex2,2,0.798232695,0.813794796,"[0.7812350305966799, 0.8096223734154592, 0.8515073985190671]"
sub4ex2,3,0.817378498,0.813794796,"[0.7812350305966799, 0.8096223734154592, 0.8515073985190671]"
sub4ex2,4,0.811487482,0.813794796,"[0.7812350305966799, 0.8096223734154592, 0.8515073985190671]"
sub4ex2,5,0.833333333,0.813794796,"[0.7812350305966799, 0.8096223734154592, 0.8515073985190671]"
sub4ex3,1,0.773195876,0.772245754,"[0.7500618769627987, 0.7819810163198984, 0.785436622056268]"
sub4ex3,2,0.790868925,0.772245754,"[0.7500618769627987, 0.7819810163198984, 0.785436622056268]"
sub4ex3,3,0.790868925,0.772245754,"[0.7500618769627987, 0.7819810163198984, 0.785436622056268]"
sub4ex3,4,0.731958763,0.772245754,"[0.7500618769627987, 0.7819810163198984, 0.785436622056268]"
sub4ex3,5,0.774336283,0.772245754,"[0.7500618769627987, 0.7819810163198984, 0.785436622056268]"
sub5ex1,1,0.848306333,0.825279237,"[0.8235831264344403, 0.7893323705637045, 0.8609453966604036]"
sub5ex1,2,0.811487482,0.825279237,"[0.8235831264344403, 0.7893323705637045, 0.8609453966604036]"
sub5ex1,3,0.827687776,0.825279237,"[0.8235831264344403, 0.7893323705637045, 0.8609453966604036]"
sub5ex1,4,0.815905744,0.825279237,"[0.8235831264344403, 0.7893323705637045, 0.8609453966604036]"
sub5ex1,5,0.82300885,0.825279237,"[0.8235831264344403, 0.7893323705637045, 0.8609453966604036]"
sub5ex2,1,0.885125184,0.902770863,"[0.873037924679098, 0.8877744688056124, 0.9455492467046523]"
sub5ex2,2,0.905743741,0.902770863,"[0.873037924679098, 0.8877744688056124, 0.9455492467046523]"
sub5ex2,3,0.923416789,0.902770863,"[0.873037924679098, 0.8877744688056124, 0.9455492467046523]"
sub5ex2,4,0.892488954,0.902770863,"[0.873037924679098, 0.8877744688056124, 0.9455492467046523]"
sub5ex2,5,0.907079646,0.902770863,"[0.873037924679098, 0.8877744688056124, 0.9455492467046523]"
sub5ex3,1,0.873343152,0.873594258,"[0.8792981654645369, 0.8321547721810754, 0.9076591594450394]"
sub5ex3,2,0.882179676,0.873594258,"[0.8792981654645369, 0.8321547721810754, 0.9076591594450394]"
sub5ex3,3,0.873343152,0.873594258,"[0.8792981654645369, 0.8321547721810754, 0.9076591594450394]"
sub5ex3,4,0.886597938,0.873594258,"[0.8792981654645369, 0.8321547721810754, 0.9076591594450394]"
sub5ex3,5,0.852507375,0.873594258,"[0.8792981654645369, 0.8321547721810754, 0.9076591594450394]"
sub6ex1,1,0.877761414,0.883329206,"[0.8504558963657418, 0.8709876001567283, 0.9285442968930298]"
sub6ex1,2,0.880706922,0.883329206,"[0.8504558963657418, 0.8709876001567283, 0.9285442968930298]"
sub6ex1,3,0.895434462,0.883329206,"[0.8504558963657418, 0.8709876001567283, 0.9285442968930298]"
sub6ex1,4,0.860088365,0.883329206,"[0.8504558963657418, 0.8709876001567283, 0.9285442968930298]"
sub6ex1,5,0.902654867,0.883329206,"[0.8504558963657418, 0.8709876001567283, 0.9285442968930298]"
sub6ex2,1,0.893961708,0.895700775,"[0.85043237298019, 0.8897632909723011, 0.9449726135158916]"
sub6ex2,2,0.882179676,0.895700775,"[0.85043237298019, 0.8897632909723011, 0.9449726135158916]"
sub6ex2,3,0.901325479,0.895700775,"[0.85043237298019, 0.8897632909723011, 0.9449726135158916]"
sub6ex2,4,0.896907216,0.895700775,"[0.85043237298019, 0.8897632909723011, 0.9449726135158916]"
sub6ex2,5,0.904129794,0.895700775,"[0.85043237298019, 0.8897632909723011, 0.9449726135158916]"
sub6ex3,1,0.857142857,0.870356806,"[0.8321968251949178, 0.8480827482378551, 0.9302966634490286]"
sub6ex3,2,0.882179676,0.870356806,"[0.8321968251949178, 0.8480827482378551, 0.9302966634490286]"
sub6ex3,3,0.86892489,0.870356806,"[0.8321968251949178, 0.8480827482378551, 0.9302966634490286]"
sub6ex3,4,0.882179676,0.870356806,"[0.8321968251949178, 0.8480827482378551, 0.9302966634490286]"
sub6ex3,5,0.861356932,0.870356806,"[0.8321968251949178, 0.8480827482378551, 0.9302966634490286]"
sub7ex1,1,0.801178203,0.796112624,"[0.7222684563168313, 0.7715705345400539, 0.8964785726796822]"
sub7ex1,2,0.784977909,0.796112624,"[0.7222684563168313, 0.7715705345400539, 0.8964785726796822]"
sub7ex1,3,0.793814433,0.796112624,"[0.7222684563168313, 0.7715705345400539, 0.8964785726796822]"
sub7ex1,4,0.798232695,0.796112624,"[0.7222684563168313, 0.7715705345400539, 0.8964785726796822]"
sub7ex1,5,0.802359882,0.796112624,"[0.7222684563168313, 0.7715705345400539, 0.8964785726796822]"
sub7ex2,1,0.904270987,0.891273389,"[0.8611205336487695, 0.8760697641302976, 0.9340598569469091]"
sub7ex2,2,0.895434462,0.891273389,"[0.8611205336487695, 0.8760697641302976, 0.9340598569469091]"
sub7ex2,3,0.889543446,0.891273389,"[0.8611205336487695, 0.8760697641302976, 0.9340598569469091]"
sub7ex2,4,0.893961708,0.891273389,"[0.8611205336487695, 0.8760697641302976, 0.9340598569469091]"
sub7ex2,5,0.873156342,0.891273389,"[0.8611205336487695, 0.8760697641302976, 0.9340598569469091]"
sub7ex3,1,0.795287187,0.791693493,"[0.722122575140792, 0.7405755820875222, 0.9102874301162244]"
sub7ex3,2,0.777614138,0.791693493,"[0.722122575140792, 0.7405755820875222, 0.9102874301162244]"
sub7ex3,3,0.802650957,0.791693493,"[0.722122575140792, 0.7405755820875222, 0.9102874301162244]"
